,Unnamed: 0,0,1,it,client
0,i0_c0,0.0336,0.0225,0,c0
1,i0_c1,0.05,0.0466,0,c1
2,i0_c2,0.0264,0.0247,0,c2
3,i0_c3,0.0316,0.0225,0,c3
4,i0_g,0.0293,0.0225,0,g
5,i1_c0,0.0336,0.0225,1,c0
6,i1_c1,0.0312,0.0263,1,c1
7,i1_c2,0.0252,0.0247,1,c2
8,i1_c3,0.0316,0.0225,1,c3
9,i1_g,0.0293,0.0225,1,g
10,i2_c0,0.0336,0.0225,2,c0
11,i2_c1,0.0268,0.0225,2,c1
12,i2_c2,0.0284,0.0271,2,c2
13,i2_c3,0.0316,0.0225,2,c3
14,i2_g,0.0293,0.0225,2,g
15,i3_c0,0.0336,0.0225,3,c0
16,i3_c1,0.0252,0.025,3,c1
17,i3_c2,0.0236,0.025,3,c2
18,i3_c3,0.0316,0.0225,3,c3
19,i3_g,0.0293,0.0225,3,g
20,i4_c0,0.0256,0.0224,4,c0
21,i4_c1,0.03,0.0234,4,c1
22,i4_c2,0.0252,0.0225,4,c2
23,i4_c3,0.0316,0.0225,4,c3
24,i4_g,0.0293,0.0225,4,g
